W_2 Ep: 1146 | Ep_r: -306
W_7 Ep: 1147 | Ep_r: -316
W_1 Ep: 1148 | Ep_r: -340
W_0 Ep: 1149 | Ep_r: -320
W_5 Ep: 1150 | Ep_r: -342
W_6 Ep: 1151 | Ep_r: -321
W_3 Ep: 1152 | Ep_r: -352
W_4 Ep: 1153 | Ep_r: -343
W_2 Ep: 1154 | Ep_r: -335
W_7 Ep: 1155 | Ep_r: -355
W_1 Ep: 1156 | Ep_r: -386
W_0 Ep: 1157 | Ep_r: -362
W_5 Ep: 1158 | Ep_r: -339
W_6 Ep: 1159 | Ep_r: -331
W_3 Ep: 1160 | Ep_r: -325
W_2 Ep: 1161 | Ep_r: -347
W_4 Ep: 1162 | Ep_r: -339
W_7 Ep: 1163 | Ep_r: -318
W_1 Ep: 1164 | Ep_r: -313
W_0 Ep: 1165 | Ep_r: -321
W_5 Ep: 1166 | Ep_r: -367
W_6 Ep: 1167 | Ep_r: -370
W_4 Ep: W_3 Ep: 11681168  | Ep_r: -363
| Ep_r: -389
W_2 Ep: 1170 | Ep_r: -352
W_7 Ep: 1171 | Ep_r: -372
W_1 Ep: 1172 | Ep_r: -335
W_0 Ep: 1173 | Ep_r: -380
W_5 Ep: 1174 | Ep_r: -382
W_6 Ep: 1175 | Ep_r: -344
W_3 Ep: 1176 | Ep_r: -336
W_4 Ep: 1177 | Ep_r: -315
W_2 Ep: 1178 | Ep_r: -323
W_7 Ep: 1179 | Ep_r: -330
W_1 W_0Ep: 1180 | Ep_r: -310
 Ep: 1180 | Ep_r: -293
W_5 Ep: 1182 | Ep_r: -290
W_6 Ep: 1183 | Ep_r: -314
W_3 Ep: 1184 | Ep_r: -339
W_4 Ep: 1185 | Ep_r: -332
W_2 Ep:W_7 Ep: 1186 | Ep_r: -322
 1186 | Ep_r: -311
W_0 Ep: 1188 | Ep_r: -290
W_1 Ep: 1189 | Ep_r: -261
W_5 Ep: 1190 | Ep_r: -291
W_6 Ep: 1191 | Ep_r: -345
W_3 Ep: 1192 | Ep_r: -369
W_7 Ep: 1193 | Ep_r: -346
W_4 Ep: 1194 | Ep_r: -311
